num_rooms;m2;price;zip_code
1.5;30;650;3298
3.5;90;1730;9300
3;70.41538462;1600;3014
4.5;119;1800;4716
3;70.41538462;1050;2300
4.5;125;1950;2576
4.5;104;2480;3073
3;60;1350;3097
4.5;110;2330;3303
2.5;71;1790;3400
4;90;1650;6454
3.5;86.183391;950;2740
3.5;86.183391;1450;3415
3;53;1600;1801
4.5;110.4352941;1990;9000
2.5;66.41732283;1200;3110
3.5;86.183391;1500;1912
3.5;70;1740;4123
4.5;160;800;6233
3.5;105;2480;1832
1.5;35;1290;6344
3.5;95;2520;9500
3.5;75;1250;4922
3.5;100;1890;3216
3.5;81;1590;4102
3.5;80;1480;4704
2.5;70;1480;9014
3.5;71;1440;9008
3;70.41538462;1790;4058
3.5;65;1260;9000
3.5;87;1400;9475
4.5;103;2690;8200
2.5;70;2200;8050
4;106;1590;3186
3.5;65;1600;4103
3.5;74;1680;3267
5.5;194;2650;3267
3.5;115;2750;3084
4.5;134;2400;3202
2;57.05263158;1050;4912
4;130;1600;4537
3.5;89;1780;6231
3.5;86.183391;1690;9425
4.5;110.4352941;2290;9425
2.5;109;1850;5415
3.5;62;2105;4051
3;68;1560;1700
5.5;123;2090;2000
3.5;77;1460;1700
2.5;62;1410;4057
2.5;94;2025;4142
3.5;96;1690;4142
4.5;109;2150;4123
1;23;1475;8105
3;65;1540;8404
4.5;120;3400;2500
3;70.41538462;1690;3063
3;70.41538462;1690;3063
4.5;114;2150;3806
3.5;86.183391;1720;3312
5.5;122;2100;8570
3.5;88;1850;8596
4.5;105;2080;8596
3.5;62;1270;4800
3.5;105;1940;2000
4.5;100;1850;1690
3.5;145;2690;1029
3.5;85;1480;2563
4.5;110.4352941;2540;2503
3.5;86.183391;1900;2503
2.5;80;1950;8404
3.5;55;1400;4410
4;70;1695;4410
3.5;71;1695;4410
3.5;85;1790;2502
2.5;79;1535;6005
3.5;95;1930;6005
3;64;1190;2503
3.5;58;1510;5210
3.5;65;1200;5312
3.5;58;1560;5210
3.5;84;1975;5400
2.5;100;1600;8200
3.5;71;1700;8114
4;104;1700;6600
4;104;1700;6600
4.5;128;990;2888
5;154;2350;2747
2;48;1190;3072
2.5;55;1200;4703
5.5;145;5483;1003
4.5;110.4352941;1530;2502
3.5;73;1620;8645
4.5;123;2100;3250
3;75;1400;2503
4;85;1880;4153
3.5;71;1520;2560
3.5;83;1990;3072
3.5;83;1610;9320
2.5;66;1370;9320
3.5;83;1340;5607
4.5;85;1480;3267
3;70;1150;1450
3.5;88;1700;6105
3.5;83;1710;9320
3.5;86.183391;1790;1630
3.5;90;1450;9470
2.5;90;2050;4055
3.5;105;1815;5708
4.5;112;1850;1713
3.5;71;1290;5200
2;29;1500;1020
2.5;87;1790;4142
3.5;62;1200;2502
3.5;91;1690;3177
3;70;1790;3008
4.5;85;1340;9240
3.5;112;1810;8374
2;75;1250;4554
4.5;117;1900;9533
3.5;92;1450;4469
3.5;93;1690;6260
4;120;1510;9554
5;150;5800;1820
4.5;105;2650;1815
4.5;100;1250;2714
2.5;50;1590;4103
3.5;90;1100;2714
2.5;68;1290;8280
3;60;1350;3072
3.5;105;1770;9400
4;86;1996;8134
4;105;1600;1950
3.5;81;1660;6500
3.5;80;1920;4133
1.5;44;1210;4051
3;85;1900;4051
4.5;114;2629;5706
4.5;117;2800;5022
4.5;110;1740;6242
3;75;1780;3004
4.5;110.4352941;1400;9403
3;70.41538462;1150;9445
2.5;77;1640;5035
3.5;88;1770;5035
3.5;92;1770;5035
3.5;102;2310;5035
3.5;93;2580;4102
3.5;96;2190;5405
3.5;90;1300;1754
4.5;112;2385;5405
4.5;112;2260;5405
5.5;112;2590;5405
4.5;110.4352941;1690;2563
3.5;75;1430;3322
3;66;1050;6500
4;92.90196078;1280;3534
3.5;80;1260;3128
3.5;85;1750;6010
3.5;86.183391;1650;3097
3.5;85;1100;6830
3.5;85;2450;8280
4.5;130;1570;6260
3.5;100;1420;3250
4.5;104;1990;9621
4;98;1600;4127
4.5;98;1840;3053
2.5;80;2900;1214
5;118;2750;4059
2.5;66.41732283;1165;3537
3.5;57;1370;2563
1;55;1150;4059
3.5;85;2290;1032
4.5;110.4352941;1500;3273
2.5;66.41732283;1490;5400
2.5;62;1490;3603
3.5;89;2150;4107
3.5;80;1160;9315
2.5;50;2270;6005
5.5;185;1380;3555
1;18;700;3805
3.5;80;1650;3250
5.5;150;1880;4629
2.5;88;1580;8500
5.5;135;2050;4410
3;65;1380;3053
3.5;62;1338;3053
2.5;55;1380;3322
4.5;95;1595;3250
2.5;64;995;9103
4.5;140;2250;8421
3.5;150;2999;3110
4.5;110;1970;9200
3;70.41538462;2500;3012
3.5;96;1995;3422
4;92.90196078;1680;3052
1.5;22;1650;1010
3;69;1430;4133
2.5;64;1530;3032
1;29;1760;1400
3.5;132;2500;3072
3.5;106;1550;4665
2.5;64;1550;3032
3;70;1750;5313
4.5;104;1990;9621
4.5;104;1970;9621
2.5;55;1160;3264
5;107;1570;2504
3.5;64;1598;3122
5.5;121;2060;4900
4.5;90;1650;1920
4.5;100;1450;2300
1.5;50;840;2540
4.5;106;2190;4562
3.5;75;1600;4562
2.5;68;1520;4562
5;129.625;1200;3436
3;69;1570;4053
6.5;180;2580;8548
4.5;110.4352941;2130;2000
2;57.05263158;1220;3027
1;29;805;3012
3.5;86.183391;1695;3626
3.5;71;1520;2503
4.5;110.4352941;1525;1950
2.5;64;1090;2718
4.5;111;2330;4410
3;70.41538462;990;4512
4.5;108;2560;3177
3.5;72;1880;3177
2.5;44;1125;3177
3.5;73;1600;3414
2.5;52;1470;3414
2;57.05263158;960;4512
4.5;121;1850;2504
2.5;62;990;2540
3.5;86.183391;1340;2502
4.5;110.4352941;1890;3073
6.5;170;3800;1170
3.5;83;1490;4718
4;92.90196078;1220;2710
3.5;70;1395;3145
2.5;96;1790;8192
3.5;86.183391;1290;1700
2.5;66.41732283;1090;1700
2.5;66.41732283;980;9400
3.5;75;1490;6850
3.5;73;1470;6850
3.5;75;1470;6850
3.5;75;1480;6850
3.5;75;1480;6850
3.5;86.183391;1590;1920
3.5;95;1650;2545
4.5;107;2000;4537
5.5;134;2400;3400
2;48;1115;4600
4.5;140;2040;5637
4;92.90196078;1660;6048
4.5;101;1771;8618
3.5;119;1870;8353
1;29;720;3174
2.5;53;1420;9240
2.5;54;1390;9240
1.5;40;1050;9240
4.5;120;2430;9240
2.5;55;1400;9240
2.5;80;1720;3072
3.5;99;2050;3072
3.5;79;1750;3072
1.5;40;1280;2503
3.5;90;1200;2735
3.5;73;1550;5242
3.5;80;1500;4710
4.5;82;1810;5430
3.5;72;1580;5430
4.5;110.4352941;1490;1700
2.5;55;1180;1775
3.5;86.183391;1290;3423
4.5;105;1467;7212
2;55;1500;1012
4.5;60;1280;4900
4.5;111;3050;3011
2;50;1070;2503
4.5;110.4352941;2360;4053
3.5;86.183391;1250;1950
4.5;107;1700;1950
1;23;1240;1201
3.5;65;1500;4500
2;57.05263158;990;2563
3.5;84;1550;9008
4.5;91;1350;3400
4.5;81;1680;6373
2.5;58;1410;8890
4;100;2350;4800
3.5;97;1650;3427
3;75;1880;3427
5.5;102;1470;9300
3.5;80;1700;4222
2.5;80;1350;1730
3.5;86.183391;1430;3510
4;92.90196078;1990;3006
3;70.41538462;1990;3005
3.5;117;1500;8355
3.5;86.183391;1360;3322
4.5;113;2280;1433
4;111;2530;4058
3.5;72;1720;4123
3.5;86;1340;3270
3.5;86.183391;3800;6612
4.5;98;1495;1719
3;64;1300;4147
3.5;108;1490;4533
3;55;1800;6005
1;29;379;2105
4.5;110;2500;3653
4.5;110.4352941;1750;3033
3.5;75;1780;3097
3.5;77;1250;9220
2;46;1750;8317
2.5;66.41732283;1350;8730
3;77;1550;4055
2.5;55;1700;3014
3.5;90;1600;2552
4.5;112;1990;4800
2;80;1180;8212
3.5;100;1600;6500
2.5;58;1100;6512
3.5;86;1700;1950
5.5;140;2150;6182
3.5;86.183391;1190;2504
6;173.3333333;1900;8523
2.5;53;1270;1950
4;80;1260;4435
4.5;74;1490;9532
4.5;160;1900;9306
5.5;130;3500;1226
4;92.90196078;1690;3063
3.5;70;1745;3007
5.5;125;1700;3718
3;70.41538462;1410;3322
4.5;117;1650;1926
3;62;1450;8630
2.5;66.41732283;1070;1950
3.5;86.183391;1310;1920
3.5;81;1375;1950
3.5;74;1495;1920
2.5;66.41732283;1465;1920
3.5;84;1825;4663
4.5;110.4352941;1665;1784
2.5;66.41732283;1060;1784
4.5;110.4352941;1980;9000
3.5;82;1450;9000
4.5;97;1750;4512
6;182;2275;3110
3.5;92;2650;1025
3.5;86.183391;1690;3073
3.5;135;2150;3178
3.5;85;1890;2540
1;29;690;6162
2.5;66.41732283;890;6162
5.5;140;1400;2400
3.5;66;1248;2560
4;92.90196078;1350;9008
2.5;54;1370;6020
3;62;1120;2503
2.5;64;1580;4123
4.5;146;1990;1890
3;66;1460;3053
1;35;1295;3011
3.5;92;1790;5624
1.5;33;920;3072
3.5;107;3200;3006
3;106;4300;1205
4.5;105;2200;3257
2;51;1100;4900
3;70.41538462;1190;2540
3.5;120;1590;2540
3.5;86.183391;1490;2540
3.5;115;1570;3270
2.5;69;1660;9008
4.5;134;3450;3008
4.5;110.4352941;1640;4914
3.5;72;2250;1004
3.5;72;1695;6004
3;70.41538462;1090;4512
1.5;46.76;880;4600
3;96;1950;4054
1;25;980;4053
3.5;75;1380;3510
3.5;86.183391;1290;8586
3.5;84;2690;8953
4.5;88;1990;4102
1;20;590;9657
4;78;1890;8820
1.5;35;890;3966
3.5;86.183391;1260;9000
4;77;1370;3125
4.5;120;2995;3014
4.5;110.4352941;1680;6162
4;147;2100;4852
4;100;2900;3012
3;70.41538462;1260;3072
4.5;140;2200;3123
4.5;115;2050;3425
2.5;83;1190;2504
3;70.41538462;1490;3604
5;108;2100;4915
3.5;113;1770;4537
2.5;72;1890;9008
3.5;127;2390;9008
2.5;48;1170;2552
1.5;40;680;9620
5.5;145;1790;3953
2;57.05263158;596;2105
3.5;60;1600;5408
1.5;32;830;4710
4.5;83;1390;4710
4;73;1605;8404
4.5;105;1820;6146
3.5;86.183391;1300;1950
4;130;1520;6162
3;70.41538462;1199;4536
3.5;86.183391;1480;1726
4.5;90;950;2400
4.5;90;950;2400
3.5;60;1520;6020
4.5;133;3150;4515
4.5;112;2085;3322
4.5;119;2150;3052
4.5;100;1680;3322
4.5;110.4352941;1645;2502
4.5;105;2190;3052
2.5;85;1800;3250
3.5;97;2250;3250
4.5;85;1450;8570
2;45;1150;9000
4.5;104;1615;2555
2.5;59;1120;2555
3.5;87;2590;4144
1;30;650;2400
3.5;86.183391;1300;2552
3.5;95;1690;8266
2.5;62;1295;1950
3.5;81;1790;8132
